# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T, T10N,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
# 
  370,20201001,    1,  130,   30,   30,   60,  158,     ,  138,    0,    0,    0,   -1,10058,   70,    8,   87,   23,    7,    0,    1,    0,    0,    0
  370,20201001,    2,  140,   30,   30,   50,  154,     ,  135,    0,    0,    0,    0,10051,   70,    8,   88,     ,    5,    0,    0,    0,    0,    0
  370,20201001,    3,  130,   30,   40,   50,  149,     ,  131,    0,    0,    0,    0,10041,   70,    8,   88,    2,    7,    0,    0,    0,    0,    0
  370,20201001,    4,  140,   30,   30,   50,  145,     ,  128,    0,    0,    0,   -1,10034,   70,    8,   89,   81,    7,    0,    1,    0,    0,    0
  370,20201001,    5,  130,   30,   30,   50,  142,     ,  126,    0,    0,    0,   -1,10025,   65,    8,   90,   23,    7,    0,    1,    0,    0,    0
  370,20201001,    6,  130,   30,   40,   60,  139,  136,  120,    0,    0,    0,    0,10021,   62,    8,   88,    2,    7,    0,    0,    0,    0,    0
  370,20201001,    7,  130,   40,   40,   60,  139,     ,  118,    0,    6,    0,   -1,10016,   61,    8,   87,   23,    7,    0,    1,    0,    0,    0
  370,20201001,    8,  140,   40,   30,   60,  141,     ,  120,    0,   18,    0,   -1,10011,   61,    8,   87,   57,    7,    0,    1,    0,    0,    0
  370,20201001,    9,  130,   30,   30,   60,  137,     ,  126,    0,   17,    7,   12,10004,   59,    8,   93,   61,    7,    0,    1,    0,    0,    0
  370,20201001,   10,  140,   40,   30,   70,  144,     ,  125,    0,   27,    0,   -1, 9998,   64,    8,   88,   81,    7,    0,    1,    0,    0,    0
  370,20201001,   11,  140,   30,   40,   60,  143,     ,  131,    0,   18,   10,   28, 9995,   59,    8,   92,   61,    7,    0,    1,    0,    0,    0
  370,20201001,   12,  150,   40,   50,   80,  141,  135,  129,    0,   26,   10,   15, 9989,   61,    8,   92,   61,    7,    0,    1,    0,    0,    0
  370,20201001,   13,  150,   50,   50,   90,  144,     ,  133,    0,   36,    8,    4, 9982,   58,    8,   93,   51,    7,    0,    1,    0,    0,    0
  370,20201001,   14,  150,   50,   40,   80,  149,     ,  135,    0,   39,    0,   -1, 9979,   65,    8,   91,   51,    7,    0,    1,    0,    0,    0
  370,20201001,   15,  230,   50,   50,  120,  137,     ,  125,    3,   39,    4,   15, 9986,   65,    8,   92,   57,    7,    0,    1,    0,    0,    0
  370,20201001,   16,  200,   50,   40,   80,  140,     ,  125,    5,   44,    0,   -1, 9990,   70,    8,   90,   23,    7,    0,    1,    0,    0,    0
  370,20201001,   17,  190,   30,   30,   80,  136,     ,  121,    5,   19,    0,    0, 9995,   70,    6,   90,     ,    5,    0,    0,    0,    0,    0
  370,20201001,   18,  190,   30,   30,   70,  119,  111,  101,    0,    1,    0,    0, 9999,   70,    3,   88,    1,    7,    0,    0,    0,    0,    0
  370,20201001,   19,  160,   20,   30,   40,  103,     ,   98,    0,    0,    0,    0,10002,   65,    4,   96,     ,    5,    0,    0,    0,    0,    0
  370,20201001,   20,  160,   30,   30,   40,  107,     ,  100,    0,    0,    0,    0,10002,   65,    8,   95,     ,    5,    0,    0,    0,    0,    0
  370,20201001,   21,  170,   40,   40,   50,  107,     ,  100,    0,    0,    0,    0,10002,   65,    8,   95,     ,    5,    0,    0,    0,    0,    0
  370,20201001,   22,  160,   30,   30,   50,  101,     ,   95,    0,    0,    0,    0, 9997,   65,    6,   96,     ,    5,    0,    0,    0,    0,    0
  370,20201001,   23,  150,   30,   30,   40,   97,     ,   93,    0,    0,    0,    0, 9992,   65,    8,   97,     ,    5,    0,    0,    0,    0,    0
  370,20201001,   24,  140,   20,   20,   40,   94,   81,   89,    0,    0,    0,    0, 9986,   65,    8,   96,     ,    5,    0,    0,    0,    0,    0
  370,20201002,    1,  120,   20,   20,   40,   89,     ,   86,    0,    0,    0,    0, 9983,   65,    8,   97,     ,    5,    0,    0,    0,    0,    0
  370,20201002,    2,  100,   20,   20,   40,   89,     ,   83,    0,    0,    0,    0, 9971,   65,    8,   96,     ,    5,    0,    0,    0,    0,    0
  370,20201002,    3,  120,   20,   20,   40,   90,     ,   81,    0,    0,    0,    0, 9965,   65,    8,   94,     ,    5,    0,    0,    0,    0,    0
  370,20201002,    4,   90,   30,   30,   50,   86,     ,   78,    0,    0,    0,    0, 9960,   65,    8,   94,     ,    5,    0,    0,    0,    0,    0
  370,20201002,    5,   80,   30,   30,   50,   87,     ,   77,    0,    0,    0,    0, 9955,   65,    8,   93,     ,    5,    0,    0,    0,    0,    0
  370,20201002,    6,  100,   30,   40,   60,   90,   77,   78,    0,    1,    0,    0, 9951,   65,    8,   92,     ,    5,    0,    0,    0,    0,    0
  370,20201002,    7,   80,   40,   40,   60,   96,     ,   84,    0,   13,    0,    0, 9947,   65,    8,   92,     ,    5,    0,    0,    0,    0,    0
  370,20201002,    8,   70,   40,   40,   70,  110,     ,   96,    2,   39,    0,    0, 9943,   65,    8,   91,     ,    5,    0,    0,    0,    0,    0
  370,20201002,    9,   80,   40,   40,   70,  120,     ,   98,    0,   47,    0,    0, 9939,   70,    8,   86,     ,    5,    0,    0,    0,    0,    0
  370,20201002,   10,   90,   50,   60,   90,  143,     ,  101,    3,  103,    0,    0, 9934,   75,    8,   75,     ,    5,    0,    0,    0,    0,    0
  370,20201002,   11,  100,   50,   50,  110,  146,     ,  100,    1,   86,    0,    0, 9927,   75,    8,   73,     ,    5,    0,    0,    0,    0,    0
  370,20201002,   12,   90,   50,   50,   90,  144,   86,  107,    0,   36,    0,   -1, 9924,   72,    8,   78,   51,    7,    0,    1,    0,    0,    0
  370,20201002,   13,   80,   40,   40,   90,  153,     ,  108,    0,   43,    0,   -1, 9919,   75,    8,   74,   23,    7,    0,    1,    0,    0,    0
  370,20201002,   14,   60,   40,   40,   70,  161,     ,  111,    0,   38,    0,    0, 9910,   75,    8,   72,     ,    5,    0,    0,    0,    0,    0
  370,20201002,   15,   60,   50,   50,   80,  162,     ,  116,    0,   31,    0,    0, 9910,   75,    8,   74,    2,    7,    0,    0,    0,    0,    0
  370,20201002,   16,   50,   40,   50,   80,  161,     ,  114,    0,   14,    0,    0, 9909,   75,    8,   73,     ,    5,    0,    0,    0,    0,    0
  370,20201002,   17,   50,   50,   50,   70,  161,     ,  116,    0,    3,    0,    0, 9907,   75,    8,   74,     ,    5,    0,    0,    0,    0,    0
  370,20201002,   18,   50,   50,   50,   80,  158,  143,  118,    0,    0,    0,   -1, 9906,   75,    8,   77,   57,    7,    0,    1,    0,    0,    0
  370,20201002,   19,   60,   70,   60,  110,  157,     ,  121,    0,    0,    9,    2, 9904,   75,    8,   79,   61,    7,    0,    1,    0,    0,    0
  370,20201002,   20,   50,   60,   60,   90,  155,     ,  120,    0,    0,    5,    1, 9895,   75,    8,   79,   61,    7,    0,    1,    0,    0,    0
  370,20201002,   21,   60,   60,   60,  100,  158,     ,  123,    0,    0,    0,   -1, 9893,   75,    8,   79,   23,    7,    0,    1,    0,    0,    0
  370,20201002,   22,   60,   60,   50,  100,  158,     ,  126,    0,    0,    0,    0, 9892,   70,    8,   81,     ,    5,    0,    0,    0,    0,    0
  370,20201002,   23,   50,   50,   50,   80,  153,     ,  127,    0,    0,    0,   -1, 9888,   65,    8,   84,   57,    7,    0,    1,    0,    0,    0
  370,20201002,   24,   50,   40,   50,   70,  152,  147,  125,    0,    0,    0,   -1, 9877,   65,    8,   83,   23,    7,    0,    1,    0,    0,    0
  370,20201003,    1,   60,   40,   40,   80,  150,     ,  124,    0,    0,    0,    0, 9877,   63,    8,   84,     ,    5,    0,    0,    0,    0,    0
  370,20201003,    2,   70,   40,   30,   60,  148,     ,  124,    0,    0,    0,    0, 9883,   63,    8,   85,     ,    5,    0,    0,    0,    0,    0
  370,20201003,    3,   70,   30,   30,   50,  141,     ,  123,    0,    0,    0,   -1, 9881,   61,    8,   89,   23,    7,    0,    1,    0,    0,    0
  370,20201003,    4,   70,   20,   20,   40,  138,     ,  123,    0,    0,    0,    0, 9881,   60,    8,   90,     ,    5,    0,    0,    0,    0,    0
  370,20201003,    5,  320,   20,   20,   40,  130,     ,  122,    0,    0,    0,   -1, 9879,   58,    8,   95,   57,    7,    0,    1,    0,    0,    0
  370,20201003,    6,   80,   10,   10,   20,  131,  127,  125,    0,    0,    6,    1, 9887,   50,    8,   95,   81,    7,    0,    1,    0,    0,    0
  370,20201003,    7,  220,   20,   30,   50,  134,     ,  129,    0,    2,   10,    9, 9889,   40,    8,   97,   61,    7,    0,    1,    0,    0,    0
  370,20201003,    8,  220,   40,   40,   60,  134,     ,  127,    0,   16,   10,    5, 9894,   61,    8,   95,   57,    7,    0,    1,    0,    0,    0
  370,20201003,    9,  210,   40,   40,   60,  133,     ,  126,    0,   21,    7,    1, 9900,   62,    8,   95,   61,    7,    0,    1,    0,    0,    0
  370,20201003,   10,  200,   40,   30,   60,  130,     ,  123,    0,   18,    7,    1, 9901,   65,    8,   95,   57,    7,    0,    1,    0,    0,    0
  370,20201003,   11,  210,   40,   50,   70,  130,     ,  125,    0,   25,    8,    6, 9902,   58,    8,   97,   58,    7,    0,    1,    0,    0,    0
  370,20201003,   12,  190,   40,   40,   70,  129,  128,  121,    0,   31,    5,    1, 9903,   65,    8,   94,   81,    7,    0,    1,    0,    0,    0
  370,20201003,   13,  210,   50,   40,   90,  121,     ,  114,    0,   17,   10,   23, 9904,   60,    8,   95,   61,    7,    0,    1,    0,    0,    0
  370,20201003,   14,  160,   30,   30,   70,  122,     ,  114,    0,   20,   10,   14, 9907,   65,    8,   94,   61,    7,    0,    1,    0,    0,    0
  370,20201003,   15,  150,   20,   30,   40,  123,     ,  115,    0,   18,   10,    2, 9905,   65,    8,   95,   57,    7,    0,    1,    0,    0,    0
  370,20201003,   16,  130,   30,   20,   50,  121,     ,  114,    0,   17,    7,    1, 9903,   65,    8,   95,   23,    7,    0,    1,    0,    0,    0
  370,20201003,   17,  160,   30,   40,   60,  119,     ,  107,    2,   13,    0,   -1, 9899,   65,    7,   92,   23,    7,    0,    1,    0,    0,    0
  370,20201003,   18,  120,   30,   20,   50,  111,  105,  105,    0,    1,    0,    0, 9895,   65,    8,   96,    3,    7,    0,    0,    0,    0,    0
  370,20201003,   19,  130,   30,   30,   50,  109,     ,  101,    0,    0,    0,    0, 9888,   65,    6,   95,     ,    5,    0,    0,    0,    0,    0
  370,20201003,   20,  120,   30,   30,   60,  105,     ,   95,    0,    0,    0,    0, 9883,   65,    1,   93,     ,    5,    0,    0,    0,    0,    0
  370,20201003,   21,  110,   30,   20,   50,  101,     ,   90,    0,    0,    0,    0, 9877,   65,    5,   92,     ,    5,    0,    0,    0,    0,    0
  370,20201003,   22,  100,   20,   20,   40,  106,     ,   93,    0,    0,    0,   -1, 9870,   65,    8,   91,   23,    7,    0,    1,    0,    0,    0
  370,20201003,   23,  120,   20,   20,   40,  105,     ,   91,    0,    0,    0,    0, 9864,   65,    8,   91,     ,    5,    0,    0,    0,    0,    0
  370,20201003,   24,  160,   40,   40,   70,  108,   92,   96,    0,    0,    4,    2, 9862,   65,    8,   92,   81,    7,    0,    1,    0,    0,    0
  370,20201004,    1,  120,   30,   20,   60,  106,     ,   98,    0,    0,    2,    1, 9855,   65,    8,   95,   23,    7,    0,    1,    0,    0,    0
  370,20201004,    2,  150,   20,   30,   40,  108,     ,   98,    0,    0,    0,    0, 9849,   65,    8,   93,     ,    5,    0,    0,    0,    0,    0
  370,20201004,    3,  140,   30,   40,   50,  107,     ,   99,    0,    0,    6,    1, 9848,   65,    8,   94,   51,    7,    0,    1,    0,    0,    0
  370,20201004,    4,  150,   40,   30,   70,  106,     ,   99,    0,    0,    6,    3, 9849,   65,    8,   95,   23,    7,    0,    1,    0,    0,    0
  370,20201004,    5,  180,   40,   40,   70,  106,     ,  100,    0,    0,    0,   -1, 9854,   65,    8,   95,   23,    7,    0,    1,    0,    0,    0
  370,20201004,    6,  170,   40,   50,   80,  109,  102,   99,    0,    0,    0,    0, 9860,   65,    8,   93,    2,    7,    0,    0,    0,    0,    0
  370,20201004,    7,  180,   50,   60,  100,  107,     ,   98,    0,    8,    4,    3, 9867,   62,    8,   93,   57,    7,    0,    1,    0,    0,    0
  370,20201004,    8,  190,   70,   60,  110,  114,     ,   96,    0,   19,    6,    2, 9880,   70,    8,   89,   61,    7,    0,    1,    0,    0,    0
  370,20201004,    9,  200,   70,   80,  120,  122,     ,   91,    1,   47,    0,   -1, 9896,   70,    8,   81,   23,    7,    0,    1,    0,    0,    0
  370,20201004,   10,  200,   80,   90,  140,  119,     ,   90,    0,   66,    0,   -1, 9907,   65,    8,   82,   81,    7,    0,    1,    0,    0,    0
  370,20201004,   11,  200,   90,   90,  170,  130,     ,   75,    4,  104,    0,   -1, 9919,   80,    8,   69,   23,    7,    0,    1,    0,    0,    0
  370,20201004,   12,  190,   90,   90,  150,  142,  105,   71,    5,  136,    0,    0, 9921,   80,    4,   62,    1,    7,    0,    0,    0,    0,    0
  370,20201004,   13,  190,   90,   90,  140,  139,     ,   71,    5,  113,    0,    0, 9930,   81,    7,   63,     ,    5,    0,    0,    0,    0,    0
  370,20201004,   14,  180,   90,  100,  180,  139,     ,   70,   10,  140,    0,    0, 9934,   83,    5,   63,     ,    5,    0,    0,    0,    0,    0
  370,20201004,   15,  180,   80,   70,  170,  137,     ,   77,   10,  103,    0,    0, 9939,   80,    5,   67,     ,    5,    0,    0,    0,    0,    0
  370,20201004,   16,  170,   60,   50,  100,  138,     ,   77,    8,   56,    0,    0, 9939,   80,    3,   66,     ,    5,    0,    0,    0,    0,    0
  370,20201004,   17,  170,   50,   60,  100,  131,     ,   75,    5,   13,    0,    0, 9943,   80,    4,   68,     ,    5,    0,    0,    0,    0,    0
  370,20201004,   18,  150,   50,   50,  100,  126,  118,   77,    0,    0,    0,    0, 9945,   75,    7,   72,     ,    5,    0,    0,    0,    0,    0
  370,20201004,   19,  150,   50,   60,  100,  121,     ,   76,    0,    0,    0,    0, 9948,   75,    3,   73,     ,    5,    0,    0,    0,    0,    0
  370,20201004,   20,  150,   60,   60,  100,  118,     ,   78,    0,    0,    0,    0, 9953,   75,    8,   76,     ,    5,    0,    0,    0,    0,    0
  370,20201004,   21,  150,   50,   40,   80,  114,     ,   78,    0,    0,    0,    0, 9954,   75,    8,   78,     ,    5,    0,    0,    0,    0,    0
  370,20201004,   22,  150,   40,   40,   80,  109,     ,   79,    0,    0,    0,    0, 9956,   70,    8,   81,     ,    5,    0,    0,    0,    0,    0
  370,20201004,   23,  160,   50,   50,   70,  113,     ,   78,    0,    0,    0,    0, 9957,   75,    8,   79,     ,    5,    0,    0,    0,    0,    0
  370,20201004,   24,  170,   50,   50,   90,  115,  101,   81,    0,    0,    0,    0, 9958,   75,    8,   79,     ,    5,    0,    0,    0,    0,    0
  370,20201005,    1,  160,   60,   60,   90,  116,     ,   82,    0,    0,    0,    0, 9958,   75,    8,   79,     ,    5,    0,    0,    0,    0,    0
  370,20201005,    2,  160,   50,   60,   90,  116,     ,   82,    0,    0,    0,    0, 9957,   75,    8,   79,     ,    5,    0,    0,    0,    0,    0
  370,20201005,    3,  170,   60,   60,  100,  119,     ,   85,    0,    0,    0,   -1, 9959,   75,    8,   79,   81,    7,    0,    1,    0,    0,    0
  370,20201005,    4,  170,   60,   60,  120,  116,     ,   84,    0,    0,    0,   -1, 9959,   75,    8,   80,   81,    7,    0,    1,    0,    0,    0
  370,20201005,    5,  160,   60,   70,  120,  115,     ,   85,    0,    0,    0,   -1, 9956,   70,    8,   81,   23,    7,    0,    1,    0,    0,    0
  370,20201005,    6,  180,   70,   70,  120,  111,  106,   84,    0,    0,    4,    1, 9962,   68,    8,   83,   57,    7,    0,    1,    0,    0,    0
  370,20201005,    7,  170,   60,   60,  100,  104,     ,   89,    0,    4,    8,    3, 9963,   63,    8,   90,   61,    7,    0,    1,    0,    0,    0
  370,20201005,    8,  170,   70,   60,  110,  102,     ,   91,    0,   17,    5,    1, 9964,   65,    8,   93,   23,    7,    0,    1,    0,    0,    0
  370,20201005,    9,  190,   60,   60,  100,  108,     ,   93,    0,   32,    0,   -1, 9971,   57,    8,   90,   81,    7,    0,    1,    0,    0,    0
  370,20201005,   10,  190,   60,   60,  100,  122,     ,   98,    1,   65,    0,   -1, 9976,   70,    8,   85,   23,    7,    0,    1,    0,    0,    0
  370,20201005,   11,  200,   70,   70,  110,  130,     ,   98,    0,   78,    0,    0, 9978,   70,    8,   81,     ,    5,    0,    0,    0,    0,    0
  370,20201005,   12,  200,   60,   70,  120,  135,   99,  100,    1,   76,    0,    0, 9982,   75,    8,   79,    2,    7,    0,    0,    0,    0,    0
  370,20201005,   13,  200,   60,   60,  110,  141,     ,  113,    2,   68,    0,   -1, 9983,   60,    8,   83,   81,    7,    0,    1,    0,    0,    0
  370,20201005,   14,  210,   60,   60,  110,  153,     ,   97,    6,  101,    0,   -1, 9985,   80,    8,   69,   23,    7,    0,    1,    0,    0,    0
  370,20201005,   15,  210,   70,   60,  110,  146,     ,  101,    1,   46,    0,    0, 9990,   75,    8,   74,    2,    7,    0,    0,    0,    0,    0
  370,20201005,   16,  250,   50,   40,  100,  116,     ,  100,    0,   10,    5,   37, 9996,   56,    8,   90,   92,    7,    0,    1,    0,    1,    0
  370,20201005,   17,  160,   30,   30,   60,  110,     ,  100,    2,    6,    4,   12, 9998,   65,    8,   93,   51,    7,    0,    1,    0,    1,    0
  370,20201005,   18,  180,   40,   50,   80,  125,  107,  109,    0,    0,    6,    3,10003,   70,    8,   90,   81,    7,    0,    1,    0,    0,    0
  370,20201005,   19,  160,   30,   30,   50,  119,     ,  114,    0,    0,    9,   13,10002,   65,    8,   96,   61,    7,    0,    1,    0,    0,    0
  370,20201005,   20,  170,   40,   40,   60,  118,     ,  109,    0,    0,    0,   -1, 9999,   65,    8,   94,   23,    7,    0,    1,    0,    0,    0
  370,20201005,   21,  170,   40,   40,   60,  112,     ,  106,    0,    0,    0,    0, 9996,   65,    7,   95,    1,    7,    0,    0,    0,    0,    0
  370,20201005,   22,  190,   40,   50,   70,  120,     ,  112,    0,    0,    0,    0, 9993,   65,    8,   94,     ,    5,    0,    0,    0,    0,    0
  370,20201005,   23,  190,   50,   50,   70,  124,     ,  117,    0,    0,    6,    2, 9992,   65,    8,   95,   81,    7,    0,    1,    0,    0,    0
  370,20201005,   24,  210,   50,   60,   90,  127,  106,  120,    0,    0,    5,    5, 9993,   65,    8,   95,   23,    7,    0,    1,    0,    0,    0
  370,20201006,    1,  210,   60,   60,   80,  128,     ,  121,    0,    0,    0,    0, 9996,   65,    8,   95,     ,    5,    0,    0,    0,    0,    0
  370,20201006,    2,  210,   60,   60,   90,  129,     ,  121,    0,    0,    0,   -1, 9996,   65,    8,   94,   57,    7,    0,    1,    0,    0,    0
  370,20201006,    3,  220,   70,   70,  110,  126,     ,  111,    0,    0,    0,   -1, 9998,   70,    8,   90,   23,    7,    0,    1,    0,    0,    0
  370,20201006,    4,  210,   70,   80,  110,  119,     ,  108,    0,    0,    0,   -1, 9999,   57,    8,   93,   57,    7,    0,    1,    0,    0,    0
  370,20201006,    5,  210,   70,   70,  110,  115,     ,  106,    0,    0,    0,   -1, 9997,   59,    8,   94,   51,    7,    0,    1,    0,    0,    0
  370,20201006,    6,  190,   60,   50,  110,  112,  108,  101,    0,    0,    0,   -1, 9994,   65,    7,   92,   22,    7,    0,    1,    0,    0,    0
  370,20201006,    7,  190,   50,   60,  100,  120,     ,   98,    0,   12,    0,   -1, 9989,   70,    8,   86,   51,    7,    0,    1,    0,    0,    0
  370,20201006,    8,  190,   60,   60,  110,  115,     ,  106,    0,   19,    7,    5, 9984,   59,    8,   94,   81,    7,    0,    1,    0,    0,    0
  370,20201006,    9,  190,   60,   60,  100,  126,     ,  115,    0,   36,    2,    1, 9983,   65,    8,   93,   23,    7,    0,    1,    0,    0,    0
  370,20201006,   10,  200,   60,   70,  110,  138,     ,  115,    5,   88,    0,    0, 9980,   70,    7,   85,     ,    5,    0,    0,    0,    0,    0
  370,20201006,   11,  210,   80,   80,  130,  146,     ,  111,    4,  111,    0,    0, 9975,   75,    7,   79,     ,    5,    0,    0,    0,    0,    0
  370,20201006,   12,  230,   90,   90,  140,  165,  109,  113,    6,  135,    0,    0, 9973,   75,    7,   71,    2,    7,    0,    0,    0,    0,    0
  370,20201006,   13,  230,   90,   90,  150,  179,     ,  109,   10,  202,    0,    0, 9973,   81,    6,   63,     ,    5,    0,    0,    0,    0,    0
  370,20201006,   14,  240,   70,   70,  120,  170,     ,  104,   10,  148,    0,    0, 9976,   80,    7,   65,     ,    5,    0,    0,    0,    0,    0
  370,20201006,   15,  220,   60,   60,  110,  134,     ,  102,    0,   31,    2,    2, 9982,   70,    8,   81,   23,    7,    0,    1,    0,    0,    0
  370,20201006,   16,  200,   40,   30,   90,  134,     ,  110,    8,   45,    0,    0, 9985,   70,    7,   85,   91,    7,    0,    0,    0,    1,    0
  370,20201006,   17,  210,   30,   40,   50,  126,     ,  107,    3,   11,    0,   -1, 9989,   70,    4,   88,   26,    7,    0,    1,    0,    1,    0
  370,20201006,   18,  210,   40,   40,   60,  123,  117,  108,    0,    0,    0,    0, 9995,   70,    5,   90,    3,    7,    0,    0,    0,    0,    0
  370,20201006,   19,  210,   50,   60,   80,  124,     ,  110,    0,    0,    0,    0, 9998,   65,    7,   91,     ,    5,    0,    0,    0,    0,    0
  370,20201006,   20,  200,   50,   50,   80,  119,     ,  106,    0,    0,    0,   -1,10000,   65,    3,   92,   23,    7,    0,    1,    0,    0,    0
  370,20201006,   21,  210,   50,   50,   80,  116,     ,  105,    0,    0,    0,    0,10002,   65,    2,   92,    1,    7,    0,    0,    0,    0,    0
  370,20201006,   22,  210,   60,   60,   90,  122,     ,  109,    0,    0,    0,   -1,10004,   65,    8,   91,   81,    7,    0,    1,    0,    0,    0
  370,20201006,   23,  220,   50,   60,  100,  121,     ,  106,    0,    0,    0,   -1,10011,   69,    8,   90,   23,    7,    0,    1,    0,    0,    0
  370,20201006,   24,  220,   60,   60,  100,  120,  110,  108,    0,    0,    6,    2,10016,   63,    8,   92,   81,    7,    0,    1,    0,    0,    0
  370,20201007,    1,  220,   70,   70,  110,  117,     ,  108,    0,    0,    3,    1,10023,   65,    8,   94,   23,    7,    0,    1,    0,    0,    0
  370,20201007,    2,  230,   60,   60,  100,  117,     ,  110,    0,    0,    2,    3,10029,   65,    8,   95,   23,    7,    0,    1,    0,    0,    0
  370,20201007,    3,  240,   60,   60,   90,  117,     ,  112,    0,    0,    5,   16,10037,   50,    8,   96,   82,    7,    0,    1,    0,    0,    0
  370,20201007,    4,  240,   60,   50,  100,  120,     ,  113,    0,    0,    3,    1,10049,   62,    8,   95,   81,    7,    0,    1,    0,    0,    0
  370,20201007,    5,  250,   50,   50,   90,  119,     ,  113,    0,    0,    4,    2,10060,   65,    8,   95,   57,    7,    0,    1,    0,    0,    0
  370,20201007,    6,  230,   40,   40,   70,  111,  105,  105,    0,    0,    0,   -1,10073,   65,    5,   96,   23,    7,    0,    1,    0,    0,    0
